"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"04/30/2026 12:00:00 AM","subway","460","33 St-Rawson St (7)","Queens","omny","OMNY - Seniors & Disability","4","0","40.744587","-73.931","POINT (-73.931 40.744587)"
"04/30/2026 12:00:00 AM","subway","98","Flushing Av (M,J)","Brooklyn","omny","OMNY - Students","6","0","40.70026","-73.941124","POINT (-73.941124 40.70026)"
"04/30/2026 12:00:00 AM","subway","206","Beach 44 St (A)","Queens","omny","OMNY - Other","1","0","40.59294","-73.77602","POINT (-73.77602 40.59294)"
"04/30/2026 12:00:00 AM","subway","250","Kings Hwy (F)","Brooklyn","omny","OMNY - Full Fare","1","0","40.603218","-73.97236","POINT (-73.97236 40.603218)"
"04/30/2026 12:00:00 AM","subway","398","77 St (6)","Manhattan","omny","OMNY - Other","2","0","40.77362","-73.95988","POINT (-73.95988 40.77362)"
"04/30/2026 12:00:00 AM","subway","420","219 St (2,5)","Bronx","omny","OMNY - Students","1","0","40.883896","-73.86263","POINT (-73.86263 40.883896)"
"04/30/2026 12:00:00 AM","subway","107","Broad St (J,Z)","Manhattan","omny","OMNY - Seniors & Disability","8","0","40.706474","-74.011055","POINT (-74.011055 40.706474)"
"04/30/2026 12:00:00 AM","subway","113","Knickerbocker Av (M)","Brooklyn","omny","OMNY - Full Fare","4","0","40.698666","-73.91971","POINT (-73.91971 40.698666)"
"04/30/2026 12:00:00 AM","subway","195","Ozone Park-Lefferts Blvd (A)","Queens","omny","OMNY - Fair Fare","1","0","40.68595","-73.8258","POINT (-73.8258 40.68595)"
"04/30/2026 12:00:00 AM","subway","253","Neptune Av (F)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.581013","-73.97457","POINT (-73.97457 40.581013)"
"04/30/2026 12:00:00 AM","subway","273","Queens Plaza (E,F,R)","Queens","omny","OMNY - Other","4","0","40.748974","-73.93724","POINT (-73.93724 40.748974)"
"04/30/2026 12:00:00 AM","subway","278","Jamaica Center-Parsons/Archer (E,J,Z)","Queens","omny","OMNY - Fair Fare","5","1","40.70215","-73.80111","POINT (-73.80111 40.70215)"
"04/30/2026 12:00:00 AM","subway","283","Greenpoint Av (G)","Brooklyn","omny","OMNY - Students","1","0","40.731354","-73.95445","POINT (-73.95445 40.731354)"
"04/30/2026 12:00:00 AM","subway","312","79 St (1)","Manhattan","omny","OMNY - Students","2","0","40.783936","-73.97992","POINT (-73.97992 40.783936)"
"04/30/2026 12:00:00 AM","subway","313","72 St (1,2,3)","Manhattan","omny","OMNY - Other","3","0","40.778454","-73.98197","POINT (-73.98197 40.778454)"
"04/30/2026 12:00:00 AM","subway","326","Franklin St (1)","Manhattan","omny","OMNY - Other","3","0","40.71932","-74.00689","POINT (-74.00689 40.71932)"
"04/30/2026 12:00:00 AM","subway","339","Bergen St (2,3)","Brooklyn","omny","OMNY - Full Fare","9","0","40.68083","-73.9751","POINT (-73.9751 40.68083)"
"04/30/2026 12:00:00 AM","subway","407","Astor Pl (6)","Manhattan","omny","OMNY - Students","4","0","40.730053","-73.99107","POINT (-73.99107 40.730053)"
"04/30/2026 12:00:00 AM","subway","449","111 St (7)","Queens","omny","OMNY - Fair Fare","3","0","40.75173","-73.85533","POINT (-73.85533 40.75173)"
"04/30/2026 12:00:00 AM","subway","13","28 St (R,W)","Manhattan","omny","OMNY - Seniors & Disability","2","0","40.745495","-73.98869","POINT (-73.98869 40.745495)"
"04/30/2026 12:00:00 AM","subway","136","New Lots Av (L)","Brooklyn","omny","OMNY - Fair Fare","4","1","40.658733","-73.89923","POINT (-73.89923 40.658733)"
"04/30/2026 12:00:00 AM","subway","195","Ozone Park-Lefferts Blvd (A)","Queens","metrocard","Metrocard - Other","1","0","40.68595","-73.8258","POINT (-73.8258 40.68595)"
"04/30/2026 12:00:00 AM","subway","38","86 St (R)","Brooklyn","omny","OMNY - Full Fare","17","2","40.62269","-74.0284","POINT (-74.0284 40.62269)"
"04/30/2026 12:00:00 AM","subway","398","77 St (6)","Manhattan","omny","OMNY - Full Fare","97","1","40.77362","-73.95988","POINT (-73.95988 40.77362)"
"04/30/2026 12:00:00 AM","subway","57","W 8 St-NY Aquarium (F,Q)","Brooklyn","omny","OMNY - Fair Fare","1","0","40.576126","-73.97594","POINT (-73.97594 40.576126)"
"04/30/2026 12:00:00 AM","subway","58","Coney Island-Stillwell Av (D,F,N,Q)","Brooklyn","omny","OMNY - Other","35","0","40.577423","-73.98123","POINT (-73.98123 40.577423)"
"04/30/2026 12:00:00 AM","subway","623","Canal St (6,J,Z,N,Q,R,W)","Manhattan","omny","OMNY - Full Fare","186","1","40.7187","-74.00058","POINT (-74.00058 40.7187)"
"04/30/2026 12:00:00 AM","subway","627","Franklin Av (C,S)","Brooklyn","omny","OMNY - Other","1","0","40.68099","-73.95634","POINT (-73.95634 40.68099)"
"04/30/2026 12:00:00 AM","subway","627","Franklin Av (C,S)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.68099","-73.95634","POINT (-73.95634 40.68099)"
"04/30/2026 12:00:00 AM","subway","136","New Lots Av (L)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.658733","-73.89923","POINT (-73.89923 40.658733)"
"04/30/2026 12:00:00 AM","subway","146","181 St (A)","Manhattan","omny","OMNY - Other","1","0","40.851696","-73.937965","POINT (-73.937965 40.851696)"
"04/30/2026 12:00:00 AM","subway","169","Canal St (A,C,E)","Manhattan","omny","OMNY - Students","1","0","40.720825","-74.005226","POINT (-74.005226 40.720825)"
"04/30/2026 12:00:00 AM","subway","26","DeKalb Av (B,Q,R)","Brooklyn","metrocard","Metrocard - Other","1","0","40.690636","-73.98183","POINT (-73.98183 40.690636)"
"04/30/2026 12:00:00 AM","subway","350","Pennsylvania Av (3)","Brooklyn","omny","OMNY - Other","1","0","40.664635","-73.8949","POINT (-73.8949 40.664635)"
"04/30/2026 12:00:00 AM","subway","245","18 Av (F)","Brooklyn","omny","OMNY - Full Fare","11","2","40.629753","-73.976974","POINT (-73.976974 40.629753)"
